N,GPU,CPU,Speedup
1, 0.000070, 0.000003, 0.042857
2, 0.000047, 0.000004, 0.085106
4, 0.000048, 0.000004, 0.083333
8, 0.000045, 0.000003, 0.066667
16, 0.000049, 0.000004, 0.081633
32, 0.000049, 0.000005, 0.102041
64, 0.000047, 0.000006, 0.127660
128, 0.000056, 0.000010, 0.178571
256, 0.000049, 0.000016, 0.326531
512, 0.000078, 0.000028, 0.358974
1024, 0.000076, 0.000058, 0.763158
2048, 0.000072, 0.000111, 1.541667
4096, 0.000081, 0.000225, 2.777778
8192, 0.000080, 0.000491, 6.137500
16384, 0.000086, 0.000975, 11.337209
32768, 0.000098, 0.001948, 19.877551
65536, 0.000095, 0.003959, 41.673684
131072, 0.000131, 0.010214, 77.969466
262144, 0.000123, 0.019001, 154.479675
524288, 0.000131, 0.039981, 305.198473
1048576, 0.000128, 0.080199, 626.554688
2097152, 0.000127, 0.159864, 1258.771654
4194304, 0.000134, 0.331866, 2476.611940
8388608, 0.000132, 0.662092, 5015.848485
16777216, 0.000193, 1.356906, 7030.601036
33554432, 0.000296, 2.770238, 9358.912162
67108864, 0.000203, 5.459378, 26893.487685
134217728, 0.000184, 11.354962, 61711.750000
